Sexo;Edad;Causas (lista reducida);Total
Hombres;De 1 a 14 años;Infarto agudo de miocardio;0
Hombres;De 1 a 14 años;Otras enfermedades;0
Hombres;De 1 a 14 años;Insuficiencia cardíaca;0
Hombres;De 1 a 14 años;Otras enfermedades;0
Hombres;De 1 a 14 años;Enfermedades cerebrovasculares;0
Hombres;De 1 a 14 años;Aterosclerosis;0
Hombres;De 1 a 14 años;Otras enfermedades;0
Hombres;De 1 a 14 años;Enfermedades del sistema respiratorio;2
Hombres;De 1 a 14 años;Influenza (gripe);1
Hombres;De 1 a 14 años;Neumonía;0
Hombres;De 1 a 14 años;Enfermedades crónicas de las vías respiratorias inferiores (excepto asma);0
Hombres;De 1 a 14 años;Asma;1
Hombres;De 1 a 14 años;Insuficiencia respiratoria;0
Hombres;De 1 a 14 años;Otras enfermedades;0
Hombres;De 1 a 14 años;Enfermedades del sistema digestivo;0
Hombres;De 1 a 14 años;Úlcera de estómago, duodeno y yeyuno;0
Hombres;De 1 a 14 años;Enteritis y colitis no infecciosas;0
Hombres;De 1 a 14 años;Enfermedad vascular intestinal;0
Hombres;De 1 a 14 años;Cirrosis y otras enfermedades crónicas del hígado;0
Hombres;De 1 a 14 años;Otras enfermedades;0
Hombres;De 1 a 14 años;Enfermedades de la piel y del tejido subcutáneo;0
Hombres;De 1 a 14 años;Enfermedades del sistema osteomuscular y del tejido conjuntivo;0
Hombres;De 1 a 14 años;Artritis reumatoide y osteoartrosis;0
Hombres;De 1 a 14 años;Osteoporosis y fractura patológica;0
Hombres;De 1 a 14 años;Otras enfermedades;0
Hombres;De 1 a 14 años;Enfermedades del sistema genitourinario;0
Hombres;De 1 a 14 años;Enfermedades del riñón y del uréter;0
Hombres;De 1 a 14 años;Enfermedades de los genitales;0
Hombres;De 1 a 14 años;Enfermedades de los genitales;0
Hombres;De 1 a 14 años;Otras enfermedades;0
Hombres;De 1 a 14 años;Embarazo, parto y puerperio;0
Hombres;De 1 a 14 años;Afecciones originadas en el periodo perinatal;1
Hombres;De 1 a 14 años;Malformaciones congénitas, deformidades y anomalías cromosómicas;7
Hombres;De 1 a 14 años;Malformaciones congénitas, deformidades y anomalías cromosómicas;3
Hombres;De 1 a 14 años;Malformaciones congénitas, deformidades y anomalías cromosómicas;3
Hombres;De 1 a 14 años;Malformaciones congénitas, deformidades y anomalías cromosómicas;1
Hombres;De 1 a 14 años;Síntomas, signos y hallazgos anormales clínicos y de laboratorio;6
Hombres;De 1 a 14 años;Paro cardíaco, muerte sin asistencia y otra causa desconocida de mortalidad;4
Hombres;De 1 a 14 años;Senilidad;0
Hombres;De 1 a 14 años;Muerte súbita infantil;0
Hombres;De 1 a 14 años;Síntomas, signos y hallazgos anormales clínicos y de laboratorio;2
Hombres;De 1 a 14 años;Causas externas de mortalidad;7
Hombres;De 1 a 14 años;Accidentes de tráfico;2
Hombres;De 1 a 14 años;Otros accidentes;0
Hombres;De 1 a 14 años;Caídas accidentales;0
Hombres;De 1 a 14 años;Ahogamiento, sumersión y sofocación accidentales;1
Hombres;De 1 a 14 años;Accidentes por fuego, humo y sustancias calientes;0
Hombres;De 1 a 14 años;Envenenamiento accidental por psicofármacos y drogas de abuso;0
Hombres;De 1 a 14 años;Otros envenenamientos accidentales;0
Hombres;De 1 a 14 años;Otros accidentes;1
Hombres;De 1 a 14 años;Suicidio y lesiones autoinfligidas;0
Hombres;De 1 a 14 años;Agresiones (Homicidio);2
Hombres;De 1 a 14 años;Eventos de intención no determinada;0
Hombres;De 1 a 14 años;Complicaciones de la atención médica y quirúrgica;1
Hombres;De 1 a 14 años;Otras causas externas y sus efectos tardíos;0
Hombres;De 15 a 29 años;Enfermedades infecciosas intestinales y parasitarias;3
Hombres;De 15 a 29 años;Enfermedades infecciosas intestinales y parasitarias;0
Hombres;De 15 a 29 años;Tuberculosis y sus efectos tardíos;0
Hombres;De 15 a 29 años;Enfermedad meningocócica;0
Hombres;De 15 a 29 años;Septicemia;1
Hombres;De 15 a 29 años;Hepatitis vírica;0
Hombres;De 15 a 29 años;SIDA;1
Hombres;De 15 a 29 años;VIH+;0
Hombres;De 15 a 29 años;Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;1
Hombres;De 15 a 29 años;Tumores;23
Hombres;De 15 a 29 años;Tumores;0
Hombres;De 15 a 29 años;Tumores;0
Hombres;De 15 a 29 años;Tumores;1
Hombres;De 15 a 29 años;Tumores;2
Hombres;De 15 a 29 años;Tumores;0
Hombres;De 15 a 29 años;Tumores;0
Hombres;De 15 a 29 años;Tumores;0
Hombres;De 15 a 29 años;Otros tumores;2
Hombres;De 15 a 29 años;Tumores;0
Hombres;De 15 a 29 años;Tumores;1
Hombres;De 15 a 29 años;Otros tumores;1
Hombres;De 15 a 29 años;Tumores malignos;5
Hombres;De 15 a 29 años;Melanoma maligno de la piel;2
Hombres;De 15 a 29 años;Otros tumores;1
Hombres;De 15 a 29 años;Tumores;0
Hombres;De 15 a 29 años;Tumores;0
Hombres;De 15 a 29 años;Tumores;0
Hombres;De 15 a 29 años;Tumores;0
Hombres;De 15 a 29 años;Tumores malignos;0
Hombres;De 15 a 29 años;Tumores;0
Hombres;De 15 a 29 años;Tumores malignos;1
Hombres;De 15 a 29 años;Tumores;0
Hombres;De 15 a 29 años;Tumores;0
Hombres;De 15 a 29 años;Otros tumores;0
Hombres;De 15 a 29 años;Tumores;2
Hombres;De 15 a 29 años;Otros tumores;0
Hombres;De 15 a 29 años;Tumores;2
Hombres;De 15 a 29 años;Tumores malignos;1
Hombres;De 15 a 29 años;Leucemia;2
Hombres;De 15 a 29 años;Tumores in situ;0
Hombres;De 15 a 29 años;Tumores benignos;0
Hombres;De 15 a 29 años;Síndrome mielodisplásico;0
Hombres;De 15 a 29 años;Otros tumores;0
Hombres;De 15 a 29 años;Enfermedades de la sangre y de los órganos hematopoyéticos;1
Hombres;De 15 a 29 años;Enfermedades de la sangre y de los órganos hematopoyéticos;1
Hombres;De 15 a 29 años;Ciertos trastornos que afectan al mecanismo de la inmunidad;0
Hombres;De 15 a 29 años;Enfermedades endocrinas, nutricionales y metabólicas;2
Hombres;De 15 a 29 años;Diabetes mellitus;0
Hombres;De 15 a 29 años;Otras enfermedades;2
Hombres;De 15 a 29 años;Trastornos mentales y del comportamiento;0
Hombres;De 15 a 29 años;Trastornos mentales y del comportamiento;0
Hombres;De 15 a 29 años;Trastornos mentales y del comportamiento;0
Hombres;De 15 a 29 años;Trastornos mentales y del comportamiento;0
Hombres;De 15 a 29 años;Trastornos mentales y del comportamiento;0
Hombres;De 15 a 29 años;Enfermedades del sistema nervioso y de los órganos de los sentidos;13
Hombres;De 15 a 29 años;Meningitis;0
Hombres;De 15 a 29 años;Alzheimer;0
Hombres;De 15 a 29 años;Otras enfermedades;13
Hombres;De 15 a 29 años;Enfermedades del sistema circulatorio;14
Hombres;De 15 a 29 años;Enfermedades cardíacas reumáticas crónicas;0
Hombres;De 15 a 29 años;Enfermedades hipertensivas;0
Hombres;De 15 a 29 años;Infarto agudo de miocardio;4
Hombres;De 15 a 29 años;Otras enfermedades;0
Hombres;De 15 a 29 años;Insuficiencia cardíaca;1
Hombres;De 15 a 29 años;Otras enfermedades;5
Hombres;De 15 a 29 años;Enfermedades cerebrovasculares;2
Hombres;De 15 a 29 años;Aterosclerosis;0
Hombres;De 15 a 29 años;Otras enfermedades;2
Hombres;De 15 a 29 años;Enfermedades del sistema respiratorio;2
Hombres;De 15 a 29 años;Influenza (gripe);0
Hombres;De 15 a 29 años;Neumonía;1
Hombres;De 15 a 29 años;Enfermedades crónicas de las vías respiratorias inferiores (excepto asma);0
Hombres;De 15 a 29 años;Asma;0
Hombres;De 15 a 29 años;Insuficiencia respiratoria;1
Hombres;De 15 a 29 años;Otras enfermedades;0
Hombres;De 15 a 29 años;Enfermedades del sistema digestivo;1
Hombres;De 15 a 29 años;Úlcera de estómago, duodeno y yeyuno;1
Hombres;De 15 a 29 años;Enteritis y colitis no infecciosas;0
Hombres;De 15 a 29 años;Enfermedad vascular intestinal;0
Hombres;De 15 a 29 años;Cirrosis y otras enfermedades crónicas del hígado;0
Hombres;De 15 a 29 años;Otras enfermedades;0
Hombres;De 15 a 29 años;Enfermedades de la piel y del tejido subcutáneo;0
Hombres;De 15 a 29 años;Enfermedades del sistema osteomuscular y del tejido conjuntivo;0
Hombres;De 15 a 29 años;Artritis reumatoide y osteoartrosis;0
Hombres;De 15 a 29 años;Osteoporosis y fractura patológica;0
Hombres;De 15 a 29 años;Otras enfermedades;0
Hombres;De 15 a 29 años;Enfermedades del sistema genitourinario;0
Hombres;De 15 a 29 años;Enfermedades del riñón y del uréter;0
Hombres;De 15 a 29 años;Enfermedades de los genitales;0
Hombres;De 15 a 29 años;Enfermedades de los genitales;0
Hombres;De 15 a 29 años;Otras enfermedades;0
Hombres;De 15 a 29 años;Embarazo, parto y puerperio;0
Hombres;De 15 a 29 años;Afecciones originadas en el periodo perinatal;0
Hombres;De 15 a 29 años;Malformaciones congénitas, deformidades y anomalías cromosómicas;2
Hombres;De 15 a 29 años;Malformaciones congénitas, deformidades y anomalías cromosómicas;1
Hombres;De 15 a 29 años;Malformaciones congénitas, deformidades y anomalías cromosómicas;1
Hombres;De 15 a 29 años;Malformaciones congénitas, deformidades y anomalías cromosómicas;0
Hombres;De 15 a 29 años;Síntomas, signos y hallazgos anormales clínicos y de laboratorio;12
Hombres;De 15 a 29 años;Paro cardíaco, muerte sin asistencia y otra causa desconocida de mortalidad;10
Hombres;De 15 a 29 años;Senilidad;0
Hombres;De 15 a 29 años;Muerte súbita infantil;0
Hombres;De 15 a 29 años;Síntomas, signos y hallazgos anormales clínicos y de laboratorio;2
Hombres;De 15 a 29 años;Causas externas de mortalidad;81
Hombres;De 15 a 29 años;Accidentes de tráfico;27
Hombres;De 15 a 29 años;Otros accidentes;2
Hombres;De 15 a 29 años;Caídas accidentales;0
Hombres;De 15 a 29 años;Ahogamiento, sumersión y sofocación accidentales;3
Hombres;De 15 a 29 años;Accidentes por fuego, humo y sustancias calientes;1
Hombres;De 15 a 29 años;Envenenamiento accidental por psicofármacos y drogas de abuso;2
Hombres;De 15 a 29 años;Otros envenenamientos accidentales;1
Hombres;De 15 a 29 años;Otros accidentes;4
Hombres;De 15 a 29 años;Suicidio y lesiones autoinfligidas;26
Hombres;De 15 a 29 años;Agresiones (Homicidio);9
Hombres;De 15 a 29 años;Eventos de intención no determinada;4
Hombres;De 15 a 29 años;Complicaciones de la atención médica y quirúrgica;2
Hombres;De 15 a 29 años;Otras causas externas y sus efectos tardíos;0
Hombres;De 30 a 39 años;Enfermedades infecciosas intestinales y parasitarias;4
Hombres;De 30 a 39 años;Enfermedades infecciosas intestinales y parasitarias;0
Hombres;De 30 a 39 años;Tuberculosis y sus efectos tardíos;0
Hombres;De 30 a 39 años;Enfermedad meningocócica;0
Hombres;De 30 a 39 años;Septicemia;1
Hombres;De 30 a 39 años;Hepatitis vírica;1
Hombres;De 30 a 39 años;SIDA;0
Hombres;De 30 a 39 años;VIH+;0
Hombres;De 30 a 39 años;Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;2
Hombres;De 30 a 39 años;Tumores;52
Hombres;De 30 a 39 años;Tumores;0
Hombres;De 30 a 39 años;Tumores;0
Hombres;De 30 a 39 años;Tumores;7
Hombres;De 30 a 39 años;Tumores;4
Hombres;De 30 a 39 años;Tumores;2
Hombres;De 30 a 39 años;Tumores;1
Hombres;De 30 a 39 años;Tumores;3
Hombres;De 30 a 39 años;Otros tumores;0
Hombres;De 30 a 39 años;Tumores;1
Hombres;De 30 a 39 años;Tumores;4
Hombres;De 30 a 39 años;Otros tumores;0
Hombres;De 30 a 39 años;Tumores malignos;6
Hombres;De 30 a 39 años;Melanoma maligno de la piel;3
Hombres;De 30 a 39 años;Otros tumores;2
Hombres;De 30 a 39 años;Tumores;0
Hombres;De 30 a 39 años;Tumores;0
Hombres;De 30 a 39 años;Tumores;0
Hombres;De 30 a 39 años;Tumores;0
Hombres;De 30 a 39 años;Tumores malignos;0
Hombres;De 30 a 39 años;Tumores;0
Hombres;De 30 a 39 años;Tumores malignos;1
Hombres;De 30 a 39 años;Tumores;0
Hombres;De 30 a 39 años;Tumores;0
Hombres;De 30 a 39 años;Otros tumores;0
Hombres;De 30 a 39 años;Tumores;11
Hombres;De 30 a 39 años;Otros tumores;0
Hombres;De 30 a 39 años;Tumores;2
Hombres;De 30 a 39 años;Tumores malignos;4
Hombres;De 30 a 39 años;Leucemia;0
Hombres;De 30 a 39 años;Tumores in situ;0
Hombres;De 30 a 39 años;Tumores benignos;1
Hombres;De 30 a 39 años;Síndrome mielodisplásico;0
Hombres;De 30 a 39 años;Otros tumores;0
Hombres;De 30 a 39 años;Enfermedades de la sangre y de los órganos hematopoyéticos;1
Hombres;De 30 a 39 años;Enfermedades de la sangre y de los órganos hematopoyéticos;0
Hombres;De 30 a 39 años;Ciertos trastornos que afectan al mecanismo de la inmunidad;1
Hombres;De 30 a 39 años;Enfermedades endocrinas, nutricionales y metabólicas;0
Hombres;De 30 a 39 años;Diabetes mellitus;0
Hombres;De 30 a 39 años;Otras enfermedades;0
Hombres;De 30 a 39 años;Trastornos mentales y del comportamiento;0
Hombres;De 30 a 39 años;Trastornos mentales y del comportamiento;0
Hombres;De 30 a 39 años;Trastornos mentales y del comportamiento;0
Hombres;De 30 a 39 años;Trastornos mentales y del comportamiento;0
Hombres;De 30 a 39 años;Trastornos mentales y del comportamiento;0
Hombres;De 30 a 39 años;Enfermedades del sistema nervioso y de los órganos de los sentidos;6
Hombres;De 30 a 39 años;Meningitis;0
Hombres;De 30 a 39 años;Alzheimer;0
Hombres;De 30 a 39 años;Otras enfermedades;6
Hombres;De 30 a 39 años;Enfermedades del sistema circulatorio;25
Hombres;De 30 a 39 años;Enfermedades cardíacas reumáticas crónicas;0
Hombres;De 30 a 39 años;Enfermedades hipertensivas;1
Hombres;De 30 a 39 años;Infarto agudo de miocardio;8
Hombres;De 30 a 39 años;Otras enfermedades;2
Hombres;De 30 a 39 años;Insuficiencia cardíaca;5
Hombres;De 30 a 39 años;Otras enfermedades;4
Hombres;De 30 a 39 años;Enfermedades cerebrovasculares;4
Hombres;De 30 a 39 años;Aterosclerosis;0
Hombres;De 30 a 39 años;Otras enfermedades;1
Hombres;De 30 a 39 años;Enfermedades del sistema respiratorio;6
Hombres;De 30 a 39 años;Influenza (gripe);0
Hombres;De 30 a 39 años;Neumonía;1
Hombres;De 30 a 39 años;Enfermedades crónicas de las vías respiratorias inferiores (excepto asma);1
Hombres;De 30 a 39 años;Asma;0
Hombres;De 30 a 39 años;Insuficiencia respiratoria;1
Hombres;De 30 a 39 años;Otras enfermedades;3
Hombres;De 30 a 39 años;Enfermedades del sistema digestivo;7
Hombres;De 30 a 39 años;Úlcera de estómago, duodeno y yeyuno;0
Hombres;De 30 a 39 años;Enteritis y colitis no infecciosas;0
Hombres;De 30 a 39 años;Enfermedad vascular intestinal;0
Hombres;De 30 a 39 años;Cirrosis y otras enfermedades crónicas del hígado;3
Hombres;De 30 a 39 años;Otras enfermedades;4
Hombres;De 30 a 39 años;Enfermedades de la piel y del tejido subcutáneo;0
Hombres;De 30 a 39 años;Enfermedades del sistema osteomuscular y del tejido conjuntivo;0
Hombres;De 30 a 39 años;Artritis reumatoide y osteoartrosis;0
Hombres;De 30 a 39 años;Osteoporosis y fractura patológica;0
Hombres;De 30 a 39 años;Otras enfermedades;0
Hombres;De 30 a 39 años;Enfermedades del sistema genitourinario;1
Hombres;De 30 a 39 años;Enfermedades del riñón y del uréter;0
Hombres;De 30 a 39 años;Enfermedades de los genitales;0
Hombres;De 30 a 39 años;Enfermedades de los genitales;0
Hombres;De 30 a 39 años;Otras enfermedades;1
Hombres;De 30 a 39 años;Embarazo, parto y puerperio;0
Hombres;De 30 a 39 años;Afecciones originadas en el periodo perinatal;0
Hombres;De 30 a 39 años;Malformaciones congénitas, deformidades y anomalías cromosómicas;1
Hombres;De 30 a 39 años;Malformaciones congénitas, deformidades y anomalías cromosómicas;0
Hombres;De 30 a 39 años;Malformaciones congénitas, deformidades y anomalías cromosómicas;1
Hombres;De 30 a 39 años;Malformaciones congénitas, deformidades y anomalías cromosómicas;0
Hombres;De 30 a 39 años;Síntomas, signos y hallazgos anormales clínicos y de laboratorio;28
Hombres;De 30 a 39 años;Paro cardíaco, muerte sin asistencia y otra causa desconocida de mortalidad;22
Hombres;De 30 a 39 años;Senilidad;0
Hombres;De 30 a 39 años;Muerte súbita infantil;0
Hombres;De 30 a 39 años;Síntomas, signos y hallazgos anormales clínicos y de laboratorio;6
Hombres;De 30 a 39 años;Causas externas de mortalidad;76
Hombres;De 30 a 39 años;Accidentes de tráfico;21
Hombres;De 30 a 39 años;Otros accidentes;0
Hombres;De 30 a 39 años;Caídas accidentales;4
Hombres;De 30 a 39 años;Ahogamiento, sumersión y sofocación accidentales;2
Hombres;De 30 a 39 años;Accidentes por fuego, humo y sustancias calientes;0
Hombres;De 30 a 39 años;Envenenamiento accidental por psicofármacos y drogas de abuso;10
Hombres;De 30 a 39 años;Otros envenenamientos accidentales;0
Hombres;De 30 a 39 años;Otros accidentes;3
Hombres;De 30 a 39 años;Suicidio y lesiones autoinfligidas;30
Hombres;De 30 a 39 años;Agresiones (Homicidio);4
Hombres;De 30 a 39 años;Eventos de intención no determinada;1
Hombres;De 30 a 39 años;Complicaciones de la atención médica y quirúrgica;1
Hombres;De 30 a 39 años;Otras causas externas y sus efectos tardíos;0
Hombres;De 40 a 44 años;Enfermedades infecciosas intestinales y parasitarias;4
